TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 422,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/17PruuaGPE_DxGdPgGtohemvnN1WoEHr2?usp=share_link,,GUL EDA,30433,a064,02:57:27
TestCase 423,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 424,notReady,LL,MAC,Local,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 425,notReady,LL,,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 426,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 427,notReady,LL,Linux,Local,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 428,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1hzg6YcjT3AJ0COyIIkdHY2buWeQ8bEdu?usp=share_link,,GUL EDA,30433,a064,04:49:56
TestCase 429,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 430,notReady,LL,MAC,Local,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 431,notReady,LL,,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 432,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 433,done,LL,Linux,Local,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1EHRMo4pROQO3ZtuZU7ZC8CXhIehNcb5M?usp=sharing,,GAMZE,,,
TestCase 434,done,LL,Linux,Local + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1K_CFXA1J7KO0i2Mi8ytjSdMHN6hZXTTE?usp=sharing,,GAMZE,,,
TestCase 435,done,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1nBnrEG0vkv4A5IgkUWdftstaSswYPD7h?usp=sharing,,GÜL EDA,658495,s046,2:51:10
TestCase 436,done,EA,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1bLD58iBnzMpe14_wZ8Gbt7FY-TI4lpd5?usp=share_link,,GUL EDA,665287,s063,08:50:36
TestCase 437,done,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1TjUNWLp0yUXgTKnVM56ba8JRpf6Y1RUK?usp=share_link,,GÜL EDA,31617,a081,02:56:15
TestCase 438,done,NC,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1bTZQM-tNJf3HVRlNV4RF09QhtYvZZ3fB?usp=sharing,,GÜL EDA,659021,s012,7:22:50
TestCase 439,done,LL,Linux,Local,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1ZjSzNkek7Czf-J0xU3gG9JnpdBG3IaOo?usp=sharing,,GAMZE,,,
TestCase 440,done,LL,Linux,Local + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1vNBKYnIsU1y2AsfOCUOnKsiWvu_vVPq7/view?usp=sharing,,GAMZE,,,
TestCase 441,done,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1X2ykoeKkbCWuXJ2z4GVHGQWaxjzDhTY7?usp=sharing,,GÜL EDA,658495,s046,3:10:12
TestCase 442,done,EA,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/14qSEiTXQ7hwJolLW47sjMaTRzvrihIPk?usp=share_link,,GUL EDA,665287,s063,07:45:24
TestCase 443,done,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1pSUPC7daJKmN19jVlALflNxHh2YYQYjQ?usp=share_link,,GÜL EDA,31617,a081,03:17:13
TestCase 444,done,NC,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1mVJKNRmjwHjHyazlVQIFEqIM6GRXP16x?usp=sharing,,GÜL EDA,659021,s012,9:05:06
TestCase 445,done,LL,Linux,Local,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1ZjSzNkek7Czf-J0xU3gG9JnpdBG3IaOo?usp=sharing,,GAMZE,,,
TestCase 446,done,LL,Linux,Local + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1k1pNiV5naNCZm9v9aawQft76Eb4FDiUp?usp=sharing,,GAMZE,,,
TestCase 447,done,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/10WE83fU9Cvp3xpJi83fQ47i1twlDb4Fi?usp=sharing,,GÜL EDA,658495,s046,2:26:31
TestCase 448,done,EA,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1CNeHUxd890JsTAu6kDcyj_7gumlsNza1?usp=share_link,,GUL EDA,665287,s063,06:59:08
TestCase 449,done,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1BIh6NX8x01baNmdapy6EBN3qT__vhTeY?usp=share_link,,GÜL EDA,31617,a081,02:30:55
TestCase 450,done,NC,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1ADj7G8s8BLBjHFfJn_I0AvX2Vn5_4tb_?usp=sharing,,GÜL EDA,659021,s012,6:32:11
TestCase 451,done,LL,Linux,Local,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1Q-ajvRJzw-INVdyCXGsZqq_vGt_ywcKG?usp=sharing,,GAMZE,,,
TestCase 452,done,LL,Linux,Local + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1CNovshgchERhhVJvpoz3NK69hz9TxQOn/view?usp=sharing,,GAMZE,,,
TestCase 453,done,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/15JRvOTguoFu78gATC9DRoD4ABN8GKOv6?usp=sharing,,GÜL EDA,658495,s046,3:27:06
TestCase 454,done,EA,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1LxbAnOgemlUr3WPITpsaqlmoZnumNqFj?usp=share_link,,GUL EDA,665287,s063,09:42:07
TestCase 455,done,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1C7LpGML11bW0oVuNm7C7BDg6yM8I6H_j?usp=share_link,,GÜL EDA,31617,a081,03:35:02
TestCase 456,done,NC,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tkdRKlQSg43WsKr0D5JkW-6nGp75D5ck?usp=sharing,,GÜL EDA,659021,s012,9:02:31
TestCase 457,done,LL,Linux,Local,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1vHdtOOXHSWNC9pgnlQe4zuIoZrxSOYd3/view?usp=sharing,,GAMZE,,,
TestCase 458,done,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1zwT_4BqnAT635yI301VFboquCws3uQaz?usp=sharing,,GAMZE,,,
TestCase 459,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1KyHLsnJSI6c9kquU-2o3t8X4hhv50MLd?usp=sharing,,GÜL EDA,658498,s042,3:04:35
TestCase 460,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/19KcdTpkcVnXljVPYvjnlUzMSsWFkXEC7?usp=share_link,,GUL EDA,665290,s066,09:17:06
TestCase 461,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1MoTijW6y3iP8m50lKGgIQ-Lp_MgHAf0F?usp=share_link,,GÜL EDA,31620,a076,02:52:52
TestCase 462,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1QPTjnixuq_LwXmDN2Z2Ycku0xbiMQU1E?usp=sharing,,GÜL EDA,659023,s022,7:12:41
TestCase 463,done,LL,Linux,Local,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1ZDcJbDGPluKo2ozpXoYbJmDqc2yPaCHk/view?usp=sharing,,GAMZE,,,
TestCase 464,done,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1JYrF61F2oaBST3ChYPpObXbfkgRs7Xyb/view?usp=sharing,,GAMZE,,,
TestCase 465,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/198PQ6Ewo7vRyoFhfzf0kC1oDuyJ879lU?usp=sharing,,GÜL EDA,658498,s042,4:13:58
TestCase 466,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1RJnPmMzUfZj7G-isHy0m6kTmWIkjrdJk?usp=share_link,,GUL EDA,665290,s066,12:07:36
TestCase 467,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1Dv-Pv81y_w1X0RNSiRf7nMlkWLyGzhMb?usp=share_link,,GÜL EDA,31620,a076,03:52:28
TestCase 468,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1boZwTou4FinDOddWNw0r84g0lMsJLK1w?usp=sharing,,GÜL EDA,659023,s022,10:58:56
TestCase 469,done,LL,Linux,Local,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1KyHLsnJSI6c9kquU-2o3t8X4hhv50MLd?usp=sharing,,GAMZE,,,
TestCase 470,done,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/17We1N4e20y1euIUhV-sMkqK1Tbk0snbv?usp=sharing,,GAMZE,,,
TestCase 471,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1F1A05glBm5JKdY2L7HW9KQkZQ13WtNMf?usp=sharing,,GÜL EDA,658498,s042,2:42:15
TestCase 472,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1TGSgLzvJwwbdP7N6YIGs4XQdUft9U-Ge?usp=share_link,,GUL EDA,665290,s066,07:15:09
TestCase 473,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1vSwXYS13EicQZ7zqYLDJbbU76uPZg0Pl?usp=share_link,,GÜL EDA,31620,a076,02:29:26
TestCase 474,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1No-4hrziR2D6xvJ5FbikUBEKfKuJdhkG?usp=sharing,,GÜL EDA,659023,s022,6:05:45
TestCase 475,done,LL,Linux,Local,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1UU8JkObS1DBhdj319EjVdqwbLnnxcMpb/view?usp=sharing,,GAMZE,,,
TestCase 476,done,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/108JxgcDCPhvksjy2ECea_aQCwVIEypoc/view?usp=sharing,,GAMZE,,,
TestCase 477,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1EjpwvT7Kb1M5U8VVO5GHpwW3saLnask1?usp=sharing,,GÜL EDA,658498,s042,4:09:33
TestCase 478,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1CF4lrnIypeGLt2gk8lJLuk6j0SWEfHML?usp=share_link,,GUL EDA,665290,s066,12:44:01
TestCase 479,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1biLYVHYtuW68jB501QWwAX9vWdc_7y7o?usp=share_link,,GÜL EDA,31620,a076,03:44:02
TestCase 480,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/11qDZOWWtfF_-1TYNDurujebbbeF1pVmG?usp=sharing,,GÜL EDA,659023,s022,9:48:41
TestCase 481,done,LL,Linux,Local,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1waFzOIzer_a79MjILnJXkLZKTjWb1RSc?usp=sharing,,GAMZE,,,
TestCase 482,done,LL,Linux,Local + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1XHpjmD9h6AhDLy3zgTwQMVMS1gjgxzyj?usp=sharing,,GAMZE,,,
TestCase 483,done,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1ycRRP55yOI4ELwh7HpzqQ3guTrm047nP?usp=sharing,,GÜL EDA,655822,s037,1:16:45
TestCase 484,done,EA,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1Ou8e0D_wxPL7F3xN5Xp-cdGK44z1UIIT?usp=share_link,,GUL EDA,665288,s064,03:44:14
TestCase 485,done,LL,,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1lg3jMqbMhn-ahPeo6aZearEzheRpmsoW?usp=share_link,,GÜL EDA,31618,a084,01:23:36
TestCase 486,done,NC,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/199aS-22j-Du3ePJFinCMQuuVJZ43oOxd?usp=sharing,,GÜL EDA,655770,s021,2:16:45
TestCase 487,done,LL,Linux,Local,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1Kby5eZv95xQwxh0_qGQx6VPvdoDUGiah?usp=sharing,,GAMZE,,,
TestCase 488,done,LL,Linux,Local + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1CEf2SCgP39k4yhQzvX6hQFeLgmOgfAYw/view?usp=sharing,,GAMZE,,,
TestCase 489,done,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/11IsIHIPStR7tjtyi9bdso8mlUBjjvEl2?usp=sharing,,GÜL EDA,655822,s037,0:42:25
TestCase 490,done,EA,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/11gZjua2sT8HptohvJjzttlulxkGhJeAM?usp=share_link,,GUL EDA,665288,s064,01:37:40
TestCase 491,done,LL,,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1wIA-gQd3nWmwNY3UOEYR_Bh31bIUde59?usp=share_link,,GÜL EDA,31618,a084,00:37:57
TestCase 492,done,NC,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1fEXIs6YZzyUJPinhMm8YW9Q4r5sgPfly?usp=sharing,,GÜL EDA,655770,s021,0:58:05
TestCase 493,done,LL,Linux,Local,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1wx5U_NrfhMW_j19OXqka0y8E5Hjhrv1W?usp=sharing,,GAMZE,,,
TestCase 494,done,LL,Linux,Local + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1UjrrfLyhupmZjXgPFHstGUYWHQcuTBRW?usp=sharing,,GAMZE,,,
TestCase 495,done,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1lzoPLPuTSr5JZ8WDS3JPI25ybRFqHbAJ?usp=sharing,,GÜL EDA,655822,s037,0:34:45
TestCase 496,done,EA,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1CPzWlPV6ox0S-4rg-QyS9yWylNY_a1VW?usp=share_link,,GUL EDA,665288,s064,01:44:11
TestCase 497,done,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1_Cfc5WDB20gDGhuL5Jb4iMxhsFDzsF5X?usp=share_link,,GÜL EDA,31618,a084,00:45:14
TestCase 498,done,NC,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1Prw8v5igWpSyPidwKfXiH2JbdxCAERWx?usp=sharing,,GÜL EDA,655770,s021,1:02:33
TestCase 499,done,LL,Linux,Local,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1YGjwUEgQyBcdVuFtPYBOKFAi65DQPVKs?usp=sharing,,GAMZE,,,
TestCase 500,done,LL,Linux,Local + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1WR8BIaA7IHd7-BndPVnj8G3mq1jxrkEu/view?usp=sharing,,GAMZE,,,
TestCase 501,done,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tp87F42QW28AvqTTD4evV9fN7WBCfaK0?usp=sharing,,GÜL EDA,655822,s037,1:14:50
TestCase 502,done,EA,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/11s-QzzutmyhaXy2uyW0JHX_j_RQq2-i6?usp=share_link,,GUL EDA,665288,s064,03:42:07
TestCase 503,done,LL,,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1um_KhhmVc5u-q5cJYWZOCNGYJzTEZbWB?usp=share_link,,GÜL EDA,31618,a084,01:21:16
TestCase 504,done,NC,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1x6_7RIE7WP0hBKL72Z1u5An38n2SlQB6?usp=sharing,,GÜL EDA,655770,s021,2:25:58
TestCase 505,done,LL,Linux,Local,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/15tVr8wRuaHVaqeT_iBaRK1E1AvAEnM0l?usp=sharing,,GAMZE,,,
TestCase 506,done,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1cHa7K458oBxbn_N-RzmXWIBssIVlFHo4?usp=sharing,,GAMZE,,,
TestCase 507,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1rrJS191Im0qNfmdjieJs0xbKaNgaOtEk?usp=sharing,,GÜL EDA,655822,s037,1:30:59
TestCase 508,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tUqXWo-PTyUE6tMg1AUTCeSA4ukT6ID0?usp=share_link,,GUL EDA,665558,s014,04:17:18
TestCase 509,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1bM3yOdt_YVdvd8Y6kNqQV6Hk5NoDxFgW?usp=share_link,,GÜL EDA,31621,a049,01:35:41
TestCase 510,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/16_vFLyesajFMnhJfD-2LZUEIpoPNnz6R?usp=sharing,,GÜL EDA,655770,s021,2:40:22
TestCase 511,done,LL,Linux,Local,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tnhnvyBwsT3pMvyNxX0TcSM962WsoS1C?usp=sharing,,GAMZE,,,
TestCase 512,done,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1mVxHoqYE665N5bgs4dFLnr5M3TQQ8WhV/view?usp=sharing,,GAMZE,,,
TestCase 513,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1A5K3ow-Yx5JbRzSJyJ7bm8kWtGtm9XZ6?usp=sharing,,GÜL EDA,655822,s037,0:45:46
TestCase 514,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1-I13qAaqujeXJzx0_rphKVHb1hmwtMgO?usp=share_link,,GUL EDA,665291,s067,02:16:57
TestCase 515,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1BYq5m6io8_4pyUZYyiPM8TKcAODr4kkF?usp=share_link,,GÜL EDA,31621,a049,00:46:22
TestCase 516,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/14-nYzqXu7k5YFKuq1OObWYtdWN9HvWhh?usp=sharing,,GÜL EDA,655770,s021,1:15:25
TestCase 517,done,LL,Linux,Local,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1IfodD7_Hds8nABQ9m0NfKqbQrcqbCmVd?usp=sharing,,GAMZE,,,
TestCase 518,done,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1DXh-FSqPrSfSyNS7Wd-EVQX82AdOjulm?usp=sharing,,GAMZE,,,
TestCase 519,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1UwOvScon4_zrq682p9Txuz9_X-kgd0RZ?usp=sharing,,GÜL EDA,655822,s037,0:47:53
TestCase 520,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/16WEIgvVJscA0H2cLCm2LAygws5ro9OnC?usp=share_link,,GUL EDA,665291,s067,02:24:03
TestCase 521,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1qeYbg7rwpa7aCKdjpR9yakQ3Y7aOd_q4?usp=share_link,,GÜL EDA,31621,a049,00:54:20
TestCase 522,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1N9lCyrvgRppAqmJFPM1I0ei2_o2BFq1j?usp=sharing,,GÜL EDA,655770,s021,1:18:18
TestCase 523,done,LL,Linux,Local,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1aakF8vHP8tDm_l5vKjuBFLKdYSR8ykOY?usp=sharing,,GAMZE,,,
TestCase 524,done,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/file/d/15ZHDzPQ7EhmuoX8KnEPVl8AcJPWqYXer/view?usp=sharing,,GAMZE,,,
TestCase 525,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1sRQfyHil_WtR26U58jpgtkm9re9XLp8Q?usp=sharing,,GÜL EDA,655822,s037,1:24:15
TestCase 526,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1SKqOLz5d1F1Nq7bX26ioSXzMvzTvcEdk?usp=share_link,,GUL EDA,665291,s067,04:29:30
TestCase 527,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tnPAy9TscNGykZbv-LFUQl5SgaL7GR_3?usp=share_link,,GÜL EDA,31621,a049,01:26:31
TestCase 528,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1T9lBjqrEkP4YWWHuHHXFyzW02EXHSHNa?usp=sharing,,GÜL EDA,655770,s021,2:37:41
TestCase 529,done,LL,Linux,Local,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1zoLu3hmfwu4lfmUl3mCDlP9roslwUNLr?usp=sharing,,GAMZE,,,
TestCase 530,done,LL,Linux,Local + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1berCaQS3jeiJYpAdkAkXS9yPYoZ2dOMt?usp=sharing,,GAMZE,,,
TestCase 531,done,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tDvdc4rgwzhOrS2Kbb1yEm6wjn4BvLgE?usp=sharing,,GÜL EDA,658497,s045,1:31:18
TestCase 532,done,EA,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1FbVCCgiWrlvAzR8xKrQZEYEtaQi-mzla?usp=share_link,,GUL EDA,665289,s065,04:14:17
TestCase 533,done,LL,,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1glhFKeRQZr8FDvVFG9HJ9K0I_DDXpeJ9?usp=share_link,,GÜL EDA,31619,a065,01:30:26
TestCase 534,done,NC,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1bVOoDBHwcGRbN4vGbXkh-dW-IkuESbHM?usp=sharing,,GÜL EDA,659022,s020,2:35:13
